"BASMID","QTYPE","GRADE","SCPUBPRI","SSAMSC","SEENJOY","SEGRADES","SEADPLCXX","SEBEHAVX","SESCHWRK","SEGBEHAV","SEGWORK","SEREPEAT","SESUSOUT","SESUSPIN","SEEXPEL","SEFUTUREX","GRADEEQ","HSWHOX","HSTUTOR","HSCOOP","HSDAYS","HSHOURS","HSSTYL","HSCLIBRX","HSCHSPUBX","HSCEDPUBX","HSCORGX","HSCCHURX","HSCPUBLX","HSCPRIVX","HSCRELX","HSCNETX","HSCOTH","HSCVTLCR","HSCOURS","HSINTNET","HSINTPUB","HSINTST","HSINTCH","HSINTAPB","HSINTPRI","HSINTCOL","HSINTOH","FSSPORTX","FSVOL","FSMTNG","FSPTMTNG","FSATCNFN","FSFUNDRS","FSCOMMTE","FSCOUNSLR","FHHOME","FHWKHRS","FHCAMT","FHCHECKX","FHHELP","FORESPON","FODINNERX","HDHEALTH","CDOBYY","AGE2015","CPLCBRTH","CSEX","TTLHHINC","RACEETH2","CENREG","PARGRADEX","FAMILY16X"
20161205605,2,7,4,1,1,2,-1,1,1,30,30,1,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,1,1,2,2,3,9,2,4,4,1,4,1,2005,10,1,2,8,1,3,3,1
20161205648,2,11,4,1,3,3,-1,2,3,0,2,2,2,1,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,2,1,2,2,1,2,10,1,3,2,1,7,3,2001,14,3,2,4,4,2,3,3
20161205664,2,4,4,1,1,5,-1,0,0,0,0,2,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,2,2,3,2,1,4,3,2,7,1,2009,6,1,2,9,1,1,4,4
20161205683,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,13,1,2,1,5,15,2,2,2,2,2,2,2,2,2,1,1,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,5,2,1999,16,1,1,2,1,2,2,2
20161205721,2,7,4,1,1,5,-1,0,0,0,1,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,1,1,2,3,4,1,3,1,1,0,1,2006,9,1,2,10,3,4,4,1
20161205732,2,8,4,1,2,5,-1,0,0,1,0,2,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,1,1,2,1,3,8,2,4,3,2,3,2,2005,10,1,2,9,3,4,5,1
20161205734,2,14,1,1,2,1,1,0,0,0,0,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,2,2,1,2,2,4,15,2,4,1,1,0,3,1999,16,1,2,4,3,2,3,1
20161205758,2,5,4,1,1,3,-1,3,2,0,1,2,2,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,1,1,1,2,1,4,14,2,4,4,1,3,2,2007,8,2,1,3,3,2,1,5
20161205813,2,15,4,1,2,1,2,5,0,0,2,2,2,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,2,1,2,2,2,6,-1,-1,-1,-1,2,5,1,1998,17,1,2,4,1,2,3,3
20161205823,2,12,4,2,2,3,2,1,1,0,0,2,1,1,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,1,1,2,2,1,2,1,1,3,5,1,0,1,2001,14,1,1,4,1,3,3,5
20161205825,2,14,1,1,1,2,1,0,0,0,0,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,1,1,2,2,4,10,1,1,5,2,5,1,1999,16,1,2,8,1,3,3,2
20161205833,2,10,4,1,3,3,-1,0,2,1,0,2,2,1,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,1,1,2,1,3,4,2,4,3,1,4,1,2002,13,1,1,9,1,2,4,2
20161205854,2,6,4,1,2,2,-1,2,2,0,0,2,2,2,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,1,1,2,2,3,4,2,4,3,1,2,1,2007,8,1,1,10,1,3,4,1
20161205863,2,13,4,1,2,2,1,0,1,1,1,2,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,2,2,1,2,2,2,2,2,1,3,1,1,3,1,2000,15,1,1,9,1,3,5,1
20161205936,2,15,3,1,2,2,2,0,0,0,0,2,1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,3,8,2,4,1,1,3,2,1997,18,1,2,5,2,4,4,5
20161205945,2,8,1,1,2,2,-1,0,4,0,0,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,2,1,4,2,1,4,4,1,3,2,2005,10,1,2,8,2,2,5,2
20161205967,2,15,4,1,1,1,1,0,0,0,2,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,1,2,2,2,4,10,1,3,5,1,5,1,1998,17,1,2,8,5,3,3,3
20161205970,2,3,4,1,1,5,-1,0,0,0,0,2,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,2,2,1,1,3,4,4,2,7,1,2009,6,1,2,8,1,4,3,2
20161205976,2,9,4,1,2,1,-1,0,0,1,1,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,1,1,2,1,3,4,1,4,3,1,6,3,2003,12,1,1,9,1,1,4,1
20161205987,2,13,4,1,3,1,2,0,0,0,0,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,2,2,2,1,4,8,1,4,4,1,7,1,2000,15,1,2,8,3,4,4,2
20161206042,2,13,4,1,2,1,1,0,0,0,0,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,2,2,2,2,2,2,2,2,1,3,5,2,0,1,2000,15,3,1,3,3,2,3,1
20161206087,2,5,4,1,1,5,-1,0,0,3,2,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,2,1,1,2,2,2,5,1,3,2,1,6,2,2007,8,1,2,7,1,2,5,1
20161206088,2,11,4,1,1,5,-1,5,0,0,0,1,1,1,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,1,1,1,2,1,5,-1,-1,-1,-1,1,7,3,2001,14,1,1,1,2,3,4,5
20161206120,2,6,4,1,2,1,-1,0,0,10,10,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,4,1,1,4,1,2,7,1,2007,8,1,2,8,1,2,5,4
20161206131,2,13,4,1,2,1,1,0,0,0,0,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,2,1,2,2,4,15,1,3,2,1,5,1,2000,15,1,2,2,3,4,3,3
20161206138,2,14,4,1,3,2,1,0,1,1,1,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,2,2,2,5,2,5,2,1999,16,1,2,10,1,2,5,1
20161206142,2,11,4,1,3,1,-1,0,0,0,0,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,2,2,2,2,1,1,2,1,2,1,2,2002,13,1,1,10,1,2,5,1
20161206146,2,13,4,1,3,3,2,0,7,2,2,2,2,2,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,2,1,1,2,1,3,2,1,3,2,1,7,2,2000,15,1,1,9,1,3,4,1
20161206175,2,7,4,1,1,5,-1,0,0,0,0,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,1,1,2,2,1,1,1,2,5,1,5,1,2006,9,1,2,9,1,1,5,1
20161206185,2,4,2,1,1,1,-1,0,0,10,15,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,2,2,3,2,2,4,3,2,7,1,2009,6,1,1,7,1,2,4,2
20161206189,2,15,4,1,2,1,2,0,0,0,0,1,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,1,2,2,2,1,1,1,1,5,2,5,2,1998,17,1,2,5,3,1,2,4
20161206220,2,11,4,1,1,2,-1,0,0,2,2,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,1,1,2,2,2,2,1,4,3,1,7,1,2001,14,1,1,10,3,2,3,4
20161206229,2,13,4,1,2,1,1,0,0,2,2,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,1,1,1,2,4,10,2,4,2,1,3,2,2000,15,1,2,10,1,3,4,1
20161206239,2,15,4,1,1,1,1,0,0,0,0,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,2,2,3,1,3,1,1,4,1,1997,18,1,1,6,5,2,4,4
20161206286,2,2,4,1,1,5,-1,0,0,3,3,2,2,2,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,2,2,2,3,1,4,2,2,7,1,2009,6,1,2,5,1,2,3,2
20161206327,2,9,3,1,1,1,-1,0,0,2,2,2,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,2,2,2,2,1,4,2,1,5,1,2004,11,1,2,8,3,2,3,4
20161206328,2,6,4,1,4,5,-1,4,0,0,0,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,4,5,1,4,4,1,7,1,2007,8,1,1,10,1,3,5,1
20161206355,2,11,4,1,2,3,-1,0,0,0,1,2,1,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,1,1,2,1,2,2,3,4,2,1,7,3,2002,13,1,2,4,5,1,2,1
20161206356,2,7,4,1,2,2,-1,0,0,0,0,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,1,1,2,1,3,4,2,4,2,1,3,2,2006,9,1,1,2,3,2,1,1
20161206359,2,12,4,1,2,1,1,0,0,0,0,2,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,2,2,4,8,2,4,1,1,4,3,2002,13,1,2,2,5,3,3,1
20161206381,2,7,4,1,3,2,-1,6,7,0,0,1,1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,1,1,2,1,3,8,2,4,3,1,7,3,2006,9,1,1,1,5,1,2,1
20161206404,2,9,4,1,1,1,-1,0,0,0,2,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,1,2,2,3,6,1,2,1,1,7,3,2003,12,1,1,5,4,2,5,1
20161206410,2,12,4,1,1,1,2,0,0,0,0,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,1,1,1,2,4,20,2,1,1,2,3,1,2000,15,1,2,10,1,3,5,1
20161206420,2,13,4,2,2,2,2,0,0,0,0,2,1,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,1,1,2,2,2,2,3,1,2,1,1,5,3,1999,16,1,2,9,1,4,3,5
20161206445,2,6,4,1,2,1,-1,0,0,0,0,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,1,2,1,2,2,3,5,2,4,3,1,7,1,2007,8,1,2,1,2,2,3,5
20161206453,2,12,4,1,2,2,1,0,0,0,0,2,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,1,1,1,2,1,4,10,2,4,2,1,6,2,2001,14,1,1,8,1,1,4,1
20161206497,2,13,4,1,1,1,1,0,0,0,0,2,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,2,2,1,2,2,2,4,1,3,5,1,5,1,2000,15,1,1,9,1,3,3,2
20161206500,2,10,4,1,3,2,-1,0,0,0,0,2,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,2,2,2,2,2,2,1,0,1,4,2,1,4,3,2003,12,1,1,9,1,4,4,1
20161206507,2,12,4,1,1,2,2,0,0,0,0,2,2,2,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,2,1,2,2,3,6,1,4,1,2,3,2,2001,14,1,2,4,1,3,2,4
20161206514,2,5,4,1,3,5,-1,1,1,0,0,2,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,2,1,2,2,1,2,4,2,2,5,2,2008,7,1,1,8,1,4,5,1
20161206525,2,7,4,1,1,1,-1,3,0,0,0,2,2,2,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,1,2,1,2,2,3,5,1,4,1,1,7,1,2006,9,1,2,9,2,4,3,1
20161206526,2,12,4,1,3,2,2,0,0,1,0,2,2,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,1,2,1,2,2,1,2,3,1,3,1,2,7,2,2001,14,1,1,8,1,4,4,1
20161206545,2,5,4,1,1,1,-1,0,0,3,3,1,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,1,2,2,2,4,5,1,4,4,1,7,1,2006,9,1,2,2,3,2,3,1
20161206583,2,13,4,1,2,2,2,0,0,0,0,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,1,1,2,1,4,12,1,2,1,1,5,1,2000,15,1,2,10,2,2,5,1
20161206619,2,14,4,1,3,2,2,0,0,0,0,2,2,2,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,1,1,2,2,1,1,1,1,4,5,1,7,1,1998,17,1,1,4,1,2,3,1
20161206622,2,14,4,1,1,1,1,0,0,0,0,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,1,1,2,2,1,4,8,2,3,5,1,1,1,1999,16,1,1,9,3,2,5,1
20161206636,2,15,4,1,1,2,2,0,0,1,1,1,2,2,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,2,2,2,1,1,1,1,2,4,1,1996,19,1,2,3,1,2,5,3
20161206644,2,2,4,1,2,5,-1,0,0,0,0,2,2,2,2,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,2,2,3,6,2,4,3,2,0,2,2010,5,1,1,3,2,2,2,3
20161206663,2,11,4,1,2,2,-1,0,0,0,1,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,1,2,1,2,2,3,8,1,3,2,1,2,1,2002,13,3,1,9,3,2,5,1
20161206682,2,4,4,1,1,1,-1,1,0,3,2,2,2,2,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,1,1,2,2,3,2,1,4,2,1,6,1,2009,6,1,1,9,4,2,3,1
